time,temp,moisture,latitude,longitude
2026-01-09 13:05:42,16,405,,
2026-01-09 13:05:44,17,420,,
2026-01-09 13:05:46,16,349,,
2026-01-09 13:05:48,16,399,,
2026-01-09 13:05:50,17,371,,
2026-01-09 13:05:54,1,403,,
2026-01-09 13:05:56,16,380,,
2026-01-09 13:05:58,16,50,,
2026-01-09 13:06:06,15,380,,
2026-01-09 13:06:08,16,350,,
2026-01-09 13:06:14,16,364,,
2026-01-09 13:06:16,17,17,,
2026-01-09 13:06:18,18,455,,
2026-01-09 13:06:20,0 17,419,,
2026-01-09 13:06:24,17,395,,
2026-01-09 13:06:26,17,357,,
2026-01-09 13:06:28,160,417,,
2026-01-09 13:06:30,17,345,,
2026-01-09 13:06:32,16,359,,
2026-01-09 13:06:38,17,330,,
2026-01-09 13:06:40,17,389,,
2026-01-09 13:06:42,17,405,,
2026-01-09 13:06:46,17,353,,
2026-01-09 13:06:50,17,376,,
2026-01-09 13:06:52,17,459,,
2026-01-09 13:06:54,16,401,,
2026-01-09 13:06:56,17,379,,
2026-01-09 15:56:32,17,346,,
2026-01-09 15:56:34,17,377,,
2026-01-09 15:56:36,17,401,,
2026-01-09 15:56:40,17,407,,
2026-01-09 15:56:42,16,385,,
2026-01-09 15:56:44,17,390,,
2026-01-09 15:56:48,17,428,,
2026-01-09 15:56:50,17,404,,
2026-01-09 15:56:52,17,376,,
2026-01-09 15:56:54,18,335,,
2026-01-09 15:56:56,17,360,,
2026-01-09 15:57:04,16,387,,
2026-01-09 15:57:06,16,356,,
2026-01-09 15:57:14,16,422,,
2026-01-09 15:57:18,16,413,53.507772,-6.407781
2026-01-09 15:57:20,17,338,53.507718,-6.407763
2026-01-09 15:57:22,16,368,53.507735,-6.407747
2026-01-09 15:57:24,16,401,53.507761,-6.407761
2026-01-09 15:57:30,17,412,53.507756,-6.407759
2026-01-09 15:57:32,17,412,53.507763,-6.407775
2026-01-09 15:57:34,17,411,53.507754,-6.40779
2026-01-09 15:57:38,16,399,53.507748,-6.407749
2026-01-09 15:57:40,17,394,53.507753,-6.407772
2026-01-09 15:57:44,17,487,53.507747,-6.407736