FFMC,ISI,temp,RH,wind,rain,risk_class
86.2,5.1,8.2,51,6.7,0.0,3
90.6,6.7,18.0,33,0.9,0.0,3
90.6,6.7,14.6,33,1.3,0.0,3
91.7,9.0,8.3,97,4.0,0.2,4
89.3,9.6,11.4,99,1.8,0.0,3
92.3,14.7,22.2,29,5.4,0.0,4
92.3,8.5,24.1,27,3.1,0.0,4
91.5,10.7,8.0,86,2.2,0.0,4
91.0,7.0,13.1,63,5.4,0.0,4
92.5,7.1,22.8,40,4.0,0.0,4
92.5,7.1,17.8,51,7.2,0.0,4
92.8,22.6,19.3,38,4.0,0.0,4
63.5,0.8,17.0,72,6.7,0.0,1
90.9,7.0,21.3,42,2.2,0.0,3
92.9,9.2,26.4,21,4.5,0.0,4
93.3,13.9,22.9,44,5.4,0.0,4
91.7,7.8,15.1,27,5.4,0.0,4
84.9,3.0,16.7,47,4.9,0.0,3
89.2,6.3,15.9,35,4.0,0.0,3
86.3,5.1,9.3,44,4.5,0.0,3
91.0,7.0,18.3,40,2.7,0.0,4
91.8,9.2,19.1,38,2.7,0.0,4
90.2,6.2,19.5,43,5.8,0.0,3
93.5,20.3,23.7,32,5.8,0.0,4
91.4,10.6,16.3,60,5.4,0.0,4
92.4,12.2,19.0,34,5.8,0.0,4
90.9,7.0,19.4,48,1.3,0.0,3
93.4,8.1,30.2,24,2.7,0.0,4
93.5,8.1,22.8,39,3.6,0.0,4
94.3,15.9,25.4,24,3.6,0.0,4
88.6,7.1,11.2,78,7.6,0.0,3
88.6,5.8,20.6,37,1.8,0.0,3
91.7,7.8,17.7,39,3.6,0.0,4
91.8,9.2,21.2,32,2.7,0.0,4
90.3,6.3,18.2,62,4.5,0.0,3
90.6,6.7,21.7,24,4.5,0.0,3
90.0,8.7,11.3,60,5.4,0.0,3
90.6,6.7,17.8,27,4.0,0.0,3
88.1,3.8,14.1,43,2.7,0.0,3
79.5,1.5,23.3,37,3.1,0.0,2
90.2,8.9,18.4,42,6.7,0.0,3
94.8,17.0,16.6,54,5.4,0.0,4
92.5,7.1,19.6,48,2.7,0.0,4
90.1,6.2,12.9,74,4.9,0.0,3
94.3,15.9,25.9,24,4.0,0.0,4
90.9,7.0,14.7,70,3.6,0.0,3
94.2,11.0,23.0,36,3.1,0.0,4
87.2,4.1,11.8,35,1.8,0.0,3
87.6,5.0,11.0,46,5.8,0.0,3
92.9,9.2,20.8,17,1.3,0.0,4
90.2,6.3,21.5,34,2.2,0.0,3
92.1,9.6,20.4,42,4.9,0.0,4
91.7,6.3,17.6,45,3.6,0.0,4
92.9,9.2,27.7,24,2.2,0.0,4
90.3,6.3,17.8,63,4.9,0.0,3
92.6,8.8,13.8,50,2.7,0.0,4
84.0,2.1,13.9,40,5.4,0.0,3
86.6,5.3,12.3,51,0.9,0.0,3
89.3,9.6,11.5,39,5.8,0.0,3
89.3,9.6,5.5,59,6.3,0.0,3
93.0,7.7,18.8,35,4.9,0.0,4
90.2,6.3,20.8,33,2.7,0.0,3
91.1,5.8,23.1,31,3.1,0.0,4
91.7,6.3,18.6,44,4.5,0.0,4
92.4,12.2,23.0,37,4.5,0.0,4
92.4,12.2,19.6,33,5.4,0.0,4
92.4,12.2,19.6,33,6.3,0.0,4
91.7,9.0,17.2,26,4.5,0.0,4
91.2,12.5,15.8,27,7.6,0.0,4
94.3,15.9,17.7,37,3.6,0.0,4
91.7,9.0,15.6,25,6.3,0.0,4
88.8,9.0,17.3,43,4.5,0.0,3
93.3,13.9,27.6,30,1.3,0.0,4
84.2,7.7,6.7,79,3.1,0.0,3
86.6,5.3,15.7,43,3.1,0.0,3
87.6,5.0,8.3,72,3.1,0.0,3
90.1,12.5,14.7,66,2.7,0.0,3
91.0,7.0,21.6,19,6.7,0.0,4
91.4,10.6,19.5,39,6.3,0.0,4
90.2,6.3,17.9,44,2.2,0.0,3
94.8,17.0,18.6,51,4.5,0.0,4
92.1,9.6,16.6,47,0.9,0.0,4
91.7,6.3,20.2,45,3.6,0.0,4
92.9,9.2,21.5,15,0.9,0.0,4
92.9,9.2,25.4,27,2.2,0.0,4
92.9,9.2,22.4,34,2.2,0.0,4
93.5,8.1,25.3,36,3.6,0.0,4
91.7,7.8,17.4,25,4.9,0.0,4
90.2,8.9,14.7,59,5.8,0.0,3
91.7,7.8,17.4,24,5.4,0.0,4
92.3,14.7,20.8,32,6.3,0.0,4
91.4,10.6,18.2,43,4.9,0.0,4
91.1,5.8,23.4,22,2.7,0.0,4
89.7,4.8,17.8,64,1.3,0.0,3
83.9,2.6,12.7,48,1.8,0.0,3
69.0,0.7,17.4,24,5.4,0.0,1
91.4,10.6,11.6,87,4.5,0.0,4
91.4,10.6,19.8,39,5.4,0.0,4
88.8,9.0,14.4,66,5.4,0.0,3
94.8,17.0,20.1,40,4.0,0.0,4
92.5,8.6,24.1,29,4.5,0.0,4
82.1,2.9,5.3,78,3.1,0.0,3
85.9,2.8,12.7,52,6.3,0.0,3
91.4,7.5,18.2,29,3.1,0.0,4
90.2,6.3,21.4,33,3.1,0.0,3
92.5,7.1,20.3,45,3.1,0.0,4
88.6,7.1,17.4,56,5.4,0.0,3
85.9,2.8,13.7,43,5.8,0.0,3
91.7,9.0,18.8,18,4.5,0.0,4
89.7,4.8,22.8,39,3.6,0.0,3
91.8,9.2,18.9,35,2.7,0.0,4
88.1,3.8,15.8,27,7.6,0.0,3
88.1,3.8,15.5,27,6.3,0.0,3
91.7,7.8,11.6,30,6.3,0.0,4
91.7,7.8,15.2,27,4.9,0.0,4
90.1,6.2,10.6,30,4.0,0.0,3
93.0,7.7,19.6,36,3.1,0.0,4
91.5,10.7,10.3,74,2.2,0.0,4
91.5,10.7,17.1,43,5.4,0.0,4
92.4,8.5,22.5,42,5.4,0.0,4
84.4,3.2,17.9,45,3.1,0.0,3
94.3,15.9,19.8,50,5.4,0.0,4
92.6,8.8,20.6,24,5.4,0.0,4
87.6,5.0,9.0,49,2.2,0.0,3
93.5,8.1,17.2,43,3.1,0.0,4
91.4,5.2,15.9,46,3.6,0.0,4
92.6,8.8,15.4,35,0.9,0.0,4
68.2,0.8,15.4,40,2.7,0.0,1
87.2,4.1,14.0,39,3.1,0.0,3
89.3,9.6,10.6,46,4.9,0.0,3
93.7,17.9,17.6,42,3.1,0.0,4
88.1,3.8,14.9,38,2.7,0.0,3
93.5,20.3,17.6,52,5.8,0.0,4
92.4,8.5,17.2,58,1.3,0.0,4
90.9,7.0,15.6,66,3.1,0.0,3
85.8,3.9,18.0,42,2.7,0.0,3
91.0,7.0,21.7,38,2.2,0.0,4
90.9,7.0,21.9,39,1.8,0.0,3
95.5,13.2,23.3,31,4.5,0.0,4
90.1,12.5,21.2,51,8.9,0.0,3
90.0,8.7,16.6,53,5.4,0.0,3
95.5,13.2,23.8,32,5.4,0.0,4
95.2,10.4,27.4,22,4.0,0.0,4
90.1,6.2,13.2,40,5.4,0.0,3
84.4,3.2,24.2,28,3.6,0.0,3
94.8,17.0,17.4,43,6.7,0.0,4
93.7,17.9,23.7,25,4.5,0.0,4
92.5,7.1,23.2,39,5.4,0.0,4
90.1,7.2,24.8,29,2.2,0.0,3
90.1,6.2,24.6,43,1.8,0.0,3
94.3,15.9,20.1,47,4.9,0.0,4
93.4,8.1,29.6,27,2.7,0.0,4
94.8,17.0,16.4,47,1.3,0.0,4
93.4,8.1,28.6,27,2.2,0.0,4
92.1,9.6,18.4,45,3.6,0.0,4
92.1,9.6,20.5,35,4.0,0.0,4
92.4,12.2,19.0,34,5.8,0.0,4
90.1,6.2,16.1,29,3.1,0.0,3
95.2,10.4,20.3,41,4.0,0.0,4
90.6,7.8,15.2,31,8.5,0.0,3
92.5,8.6,17.8,56,1.8,0.0,4
89.7,4.8,17.8,67,2.2,0.0,3
84.9,3.0,5.3,70,4.5,0.0,3
92.1,9.6,16.6,47,0.9,0.0,4
96.0,16.5,23.4,33,4.5,0.0,4
91.2,12.5,14.6,26,9.4,0.0,4
95.2,10.4,20.7,45,2.2,0.0,4
92.9,9.2,21.9,35,1.8,0.0,4
85.6,6.6,17.4,50,4.0,0.0,3
91.4,10.6,20.1,39,5.4,0.0,4
90.9,7.0,17.7,39,2.2,0.0,3
90.2,8.9,14.2,53,1.8,0.0,3
90.2,8.9,20.3,39,4.9,0.0,3
81.5,2.7,5.8,54,5.8,0.0,2
90.2,6.3,19.2,44,2.7,0.0,3
90.1,6.2,18.3,45,2.2,0.0,3
88.8,9.0,14.4,66,5.4,0.0,3
92.4,8.5,23.9,32,6.7,0.0,4
84.9,3.0,19.1,32,4.0,0.0,3
86.8,3.9,12.4,53,2.2,0.0,3
91.7,11.1,16.8,45,4.5,0.0,4
93.9,15.1,20.8,34,4.9,0.0,4
91.0,7.0,17.6,46,3.1,0.0,4
89.3,9.6,11.5,39,5.8,0.0,3
90.9,7.0,21.0,42,2.2,0.0,3
90.8,7.9,13.3,42,0.9,0.0,3
90.7,5.5,11.5,60,4.0,0.0,3
91.2,12.5,11.7,33,4.0,0.0,4
95.2,10.4,24.2,28,2.7,0.0,4
94.8,17.0,24.6,22,4.5,0.0,4
92.9,9.2,24.3,25,4.0,0.0,4
94.8,17.0,24.6,22,4.5,0.0,4
93.9,15.1,23.5,36,5.4,0.0,4
81.5,2.7,5.8,54,5.8,0.0,2
92.9,9.2,21.5,15,0.9,0.0,4
91.0,7.0,13.9,59,6.3,0.0,4
63.5,0.8,22.6,38,3.6,0.0,1
91.0,7.0,21.6,33,2.2,0.0,4
90.1,7.2,12.4,54,3.6,0.0,3
83.9,2.1,8.8,68,2.2,0.0,3
91.4,5.2,20.2,37,2.7,0.0,4
90.6,7.8,15.1,64,4.0,0.0,3
92.9,9.2,22.1,34,1.8,0.0,4
93.5,20.3,22.9,31,7.2,0.0,4
91.0,7.0,20.7,37,2.2,0.0,4
92.4,12.2,19.6,33,6.3,0.0,4
93.7,17.9,23.2,26,4.9,0.0,4
90.6,6.7,18.4,25,3.1,0.0,3
93.5,20.3,5.1,96,5.8,0.0,4
94.3,15.9,20.1,47,4.9,0.0,4
87.6,5.0,11.0,46,5.8,0.0,3
91.7,7.8,17.0,27,4.9,0.0,4
92.4,8.5,16.9,60,1.3,0.0,4
88.6,7.1,12.4,73,6.3,0.0,3
92.9,9.2,19.4,19,1.3,0.0,4
90.1,6.2,15.2,27,3.1,0.0,3
90.2,6.3,16.2,59,3.1,0.0,3
93.3,13.9,18.6,49,3.6,0.0,4
87.6,5.0,11.0,46,5.8,0.0,3
88.3,6.8,13.4,79,3.6,0.0,3
90.1,6.2,15.4,57,4.5,0.0,3
93.5,8.1,22.9,39,4.9,0.0,4
91.7,11.1,16.1,44,4.0,0.0,4
92.2,11.9,20.1,34,4.5,0.0,4
93.5,8.1,28.3,26,3.1,0.0,4
92.2,11.9,16.4,43,4.0,0.0,4
92.9,9.2,26.4,21,4.5,0.0,4
93.5,8.1,27.8,27,3.1,0.0,4
91.0,7.0,18.7,43,2.7,0.0,4
84.4,3.2,24.3,36,3.1,0.0,3
92.5,8.6,17.7,25,3.1,0.0,4
91.4,10.6,19.6,41,5.8,0.0,4
92.5,8.6,18.2,46,1.8,0.0,4
91.0,7.0,18.8,40,2.2,0.0,4
92.5,8.6,25.1,27,4.0,0.0,4
81.9,3.5,13.4,75,1.8,0.0,2
88.0,3.8,15.2,51,2.7,0.0,3
83.0,2.3,16.7,20,3.1,0.0,3
94.2,12.9,15.4,66,4.0,0.0,4
91.8,13.8,21.9,73,7.6,1.0,4
91.8,13.8,22.4,54,7.6,0.0,4
91.8,13.8,26.8,38,6.3,0.0,4
91.8,13.8,25.7,39,5.4,0.0,4
92.2,9.6,20.7,70,2.2,0.0,4
93.1,13.5,28.7,28,2.7,0.0,4
93.1,13.5,21.7,40,0.4,0.0,4
93.1,13.5,26.8,25,3.1,0.0,4
93.1,13.5,24.0,36,3.1,0.0,4
93.1,13.5,22.1,37,3.6,0.0,4
91.9,8.0,21.4,38,2.7,0.0,4
91.6,6.3,18.9,41,3.1,0.0,4
87.5,5.0,22.3,46,4.0,0.0,3
94.2,11.0,23.9,41,2.2,0.0,4
94.2,11.0,21.4,44,2.7,0.0,4
91.8,13.7,20.6,59,0.9,0.0,4
91.8,13.7,23.7,40,1.8,0.0,4
93.6,14.4,28.3,32,4.0,0.0,4
91.6,8.9,11.2,84,7.6,0.0,4
91.6,8.9,21.4,42,3.1,0.0,4
91.1,7.1,19.3,39,3.6,0.0,4
94.3,13.0,21.8,53,3.1,0.0,4
93.7,14.6,22.1,54,7.6,0.0,4
94.3,22.7,19.4,55,4.0,0.0,4
92.1,14.3,23.7,24,3.1,0.0,4
92.1,14.3,21.0,32,3.1,0.0,4
92.1,14.3,19.1,53,2.7,0.0,4
92.1,14.3,21.8,56,3.1,0.0,4
92.1,14.3,20.1,58,4.5,0.0,4
92.1,14.3,20.2,47,4.0,0.0,4
84.4,6.8,4.8,57,8.5,0.0,3
84.0,5.3,5.1,61,8.0,0.0,3
84.6,2.0,5.1,61,4.9,0.0,3
85.4,2.6,4.6,21,8.5,0.0,3
85.4,2.6,4.6,21,8.5,0.0,3
85.4,2.6,4.6,21,8.5,0.0,3
85.4,2.6,4.6,21,8.5,0.0,3
84.7,4.1,2.2,59,4.9,0.0,3
85.4,2.6,5.1,24,8.5,0.0,3
84.9,3.4,4.2,51,4.0,0.0,3
86.9,3.2,8.8,35,3.1,0.0,3
85.2,6.3,7.5,46,8.0,0.0,3
93.9,12.3,23.4,40,6.3,0.0,4
91.2,12.5,12.6,90,7.6,0.2,4
91.6,9.0,22.1,49,2.7,0.0,4
91.6,9.0,24.2,32,1.8,0.0,4
91.6,9.0,24.3,30,1.8,0.0,4
91.6,9.0,18.7,53,1.8,0.0,4
91.6,9.0,25.3,39,0.9,0.0,4
91.6,6.3,22.9,40,1.3,0.0,4
93.1,11.0,26.9,28,5.4,0.0,4
92.3,8.5,17.1,67,3.6,0.0,4
93.1,11.0,22.2,48,1.3,0.0,4
90.4,6.4,14.3,46,1.8,0.0,3
90.4,6.4,15.4,45,2.2,0.0,3
91.2,12.7,19.6,43,4.9,0.0,4
53.4,0.4,10.6,90,2.7,0.0,1
90.4,7.5,20.7,25,4.9,0.0,3
90.4,7.5,19.1,39,5.4,0.0,3
91.1,7.1,19.2,38,4.5,0.0,4
85.1,3.5,11.3,94,4.9,0.0,3
89.6,5.7,19.0,52,2.2,0.0,3
89.6,5.7,17.1,53,5.4,0.0,3
89.6,5.7,23.8,35,3.6,0.0,3
92.4,9.9,16.0,45,1.8,0.0,4
92.4,9.9,24.9,27,2.2,0.0,4
92.4,9.9,25.3,27,2.7,0.0,4
92.4,9.9,24.8,28,1.8,0.0,4
50.4,0.4,12.2,78,6.3,0.0,1
92.6,8.8,24.3,27,4.9,0.0,4
92.6,8.8,19.7,41,1.8,0.0,4
91.2,7.2,18.5,30,2.7,0.0,4
92.4,8.6,18.6,24,5.8,0.0,4
92.4,8.6,19.2,24,4.9,0.0,4
92.8,7.5,21.6,27,2.2,0.0,4
92.8,7.5,21.6,28,6.3,0.0,4
92.8,7.5,18.9,34,7.2,0.0,4
92.8,7.5,16.8,28,4.0,0.0,4
92.8,7.5,16.8,28,4.0,0.0,4
90.7,6.8,12.9,39,2.7,0.0,3
88.1,5.4,13.7,56,1.8,0.0,3
92.2,8.4,24.2,27,3.1,0.0,4
92.2,8.4,24.1,27,3.1,0.0,4
92.2,8.4,21.2,32,2.2,0.0,4
92.2,8.4,19.7,35,1.8,0.0,4
92.2,8.4,23.5,27,4.0,0.0,4
92.2,8.4,24.2,27,3.1,0.0,4
91.2,8.5,21.5,28,4.5,0.0,4
91.2,8.5,17.1,41,2.2,0.0,4
92.1,9.5,18.1,54,3.1,0.0,4
91.6,6.2,18.0,51,5.4,0.0,4
91.6,6.2,9.8,86,1.8,0.0,4
91.6,6.2,19.3,44,2.2,0.0,4
91.6,6.2,23.0,34,2.2,0.0,4
91.6,6.2,22.7,35,2.2,0.0,4
91.6,6.2,20.4,41,1.8,0.0,4
91.6,6.2,19.3,44,2.2,0.0,4
91.9,6.5,15.7,51,2.2,0.0,4
91.5,7.5,20.6,37,1.8,0.0,4
91.5,7.5,15.9,51,4.5,0.0,4
91.5,7.5,12.2,66,4.9,0.0,4
91.5,7.5,16.8,43,3.1,0.0,4
91.5,7.5,21.3,35,2.2,0.0,4
92.1,9.6,10.1,75,3.6,0.0,4
92.1,9.6,17.4,57,4.5,0.0,4
92.1,9.6,12.8,64,3.6,0.0,4
92.1,9.6,10.1,75,3.6,0.0,4
92.1,9.6,15.4,53,6.3,0.0,4
92.1,9.6,20.6,43,3.6,0.0,4
92.1,9.6,19.8,47,2.7,0.0,4
92.1,9.6,18.7,50,2.2,0.0,4
92.1,9.6,20.8,35,4.9,0.0,4
92.1,9.6,20.8,35,4.9,0.0,4
92.5,10.2,15.9,55,3.6,0.0,4
92.5,10.2,19.7,39,2.7,0.0,4
92.5,10.2,21.1,39,2.2,0.0,4
92.5,10.2,18.4,42,2.2,0.0,4
92.5,10.2,17.3,45,4.0,0.0,4
88.2,11.6,15.2,64,3.1,0.0,3
91.9,6.5,15.9,53,2.2,0.0,4
91.9,6.5,21.1,35,2.7,0.0,4
91.9,6.5,19.6,45,3.1,0.0,4
91.1,12.5,15.9,38,5.4,0.0,4
91.1,12.5,16.4,27,3.6,0.0,4
91.2,8.4,16.8,47,4.9,0.0,4
91.0,7.1,13.8,77,7.6,0.0,4
91.0,7.1,13.8,77,7.6,0.0,4
91.9,8.0,14.2,58,4.0,0.0,4
92.0,8.1,10.4,75,0.9,0.0,4
94.8,13.9,20.3,42,2.7,0.0,4
90.3,7.4,10.3,78,4.0,0.0,3
91.2,8.4,15.4,57,4.9,0.0,4
92.1,8.2,21.1,54,2.2,0.0,4
93.7,8.4,21.9,42,2.2,0.0,4
90.9,8.0,8.7,51,5.8,0.0,3
18.7,0.0,5.2,100,0.9,0.0,0
93.7,11.9,19.3,39,7.2,0.0,4
90.7,6.8,16.2,63,2.7,0.0,3
95.2,18.0,28.2,29,1.8,0.0,4
91.6,6.3,20.5,58,2.7,0.0,4
91.6,7.7,21.3,44,4.5,0.0,4
91.6,7.6,20.9,50,2.2,0.0,4
90.5,11.4,20.6,55,5.4,0.0,3
90.9,8.0,11.6,48,5.4,0.0,3
94.8,12.0,23.3,34,3.1,0.0,4
94.8,12.0,23.3,34,3.1,0.0,4
84.7,4.1,7.5,71,6.3,0.0,3
91.1,7.2,20.7,46,2.7,0.0,4
91.0,7.1,21.9,43,4.0,0.0,4
93.4,11.4,15.2,19,7.6,0.0,4
84.1,2.2,5.3,68,1.8,0.0,3
85.0,3.5,10.1,62,1.8,0.0,3
90.5,11.4,20.4,55,4.9,0.0,3
91.6,7.6,24.3,33,3.6,0.0,4
93.7,8.4,25.9,32,3.1,0.0,4
93.3,14.0,28.0,34,4.5,0.0,4
93.3,14.0,28.0,34,4.5,0.0,4
91.1,8.3,22.8,46,4.0,0.0,4
94.8,12.0,25.0,36,4.0,0.0,4
90.7,6.8,21.3,41,3.6,0.0,3
87.9,3.7,21.8,34,2.2,0.0,3
94.6,9.5,27.9,27,2.2,0.0,4
87.1,4.0,17.0,67,4.9,0.0,3
84.7,2.9,14.2,46,4.0,0.0,3
90.3,7.4,19.9,44,3.1,0.0,3
92.3,12.1,23.4,31,5.4,0.0,4
84.1,2.7,14.7,42,2.7,0.0,3
84.6,3.3,8.2,53,9.4,0.0,3
92.3,9.8,22.8,27,4.5,0.0,4
93.7,8.4,26.4,33,3.6,0.0,4
93.6,10.1,24.1,50,4.0,0.0,4
94.8,13.9,27.5,27,4.9,0.0,4
92.7,8.9,26.3,39,3.1,0.0,4
93.4,9.9,13.8,24,5.8,0.0,4
92.0,8.1,24.9,42,5.4,0.0,4
91.6,7.6,24.8,36,4.0,0.0,4
91.7,7.8,26.2,36,4.5,0.0,4
95.2,18.0,30.8,19,4.5,0.0,4
88.9,5.2,29.3,27,3.6,0.0,3
91.2,8.4,22.3,48,4.0,0.0,4
93.7,8.4,26.9,31,3.6,0.0,4
91.6,6.3,20.4,56,2.2,0.0,4
91.6,6.3,20.4,56,2.2,0.0,4
92.1,8.2,27.9,33,2.2,0.0,4
94.8,13.9,26.2,34,5.8,0.0,4
91.6,7.6,24.6,44,4.0,0.0,4
89.7,6.8,19.4,45,3.6,0.0,3
92.1,9.6,23.3,40,4.0,0.0,4
94.8,13.9,23.9,38,6.7,0.0,4
93.6,10.1,20.9,66,4.9,0.0,4
90.6,5.5,22.2,45,3.6,0.0,3
90.8,5.6,23.8,51,1.8,0.0,3
92.1,8.2,26.8,35,1.3,0.0,4
89.4,9.7,14.2,73,2.7,0.0,3
93.7,8.4,23.6,53,4.0,0.0,4
91.1,7.2,19.1,46,2.2,0.0,4
90.3,7.4,16.2,58,3.6,0.0,3
92.1,8.2,25.5,29,1.8,0.0,4
87.9,3.7,10.9,64,3.1,0.0,3
90.7,16.8,14.8,78,8.0,0.0,3
90.3,7.4,16.2,58,3.6,0.0,3
94.0,10.7,17.3,80,4.5,0.0,4
92.0,8.1,19.1,70,2.2,0.0,4
93.4,9.9,8.9,35,8.0,0.0,4
89.7,10.1,10.5,77,4.0,0.0,3
91.6,7.6,19.3,61,4.9,0.0,4
95.2,18.0,23.4,49,5.4,0.0,4
90.5,16.3,11.8,88,4.9,0.0,3
91.5,7.5,17.7,65,4.0,0.0,4
89.4,5.6,17.4,54,3.1,0.0,3
91.6,6.3,16.8,56,3.1,0.0,4
94.6,16.7,17.9,48,2.7,0.0,4
91.6,6.3,16.6,59,2.7,0.0,4
91.7,7.8,19.9,50,4.0,0.0,4
93.7,8.4,18.9,64,4.9,0.0,4
91.6,7.7,15.5,72,8.0,0.0,4
93.7,8.4,18.9,64,4.9,0.0,4
93.7,8.4,18.9,64,4.9,0.0,4
91.0,7.1,14.5,76,7.6,0.0,4
75.1,1.9,4.6,82,6.3,0.0,2
75.1,1.9,5.1,77,5.4,0.0,2
79.5,1.8,4.6,59,0.9,0.0,2
87.2,7.1,10.2,45,5.8,0.0,3
90.2,7.3,11.2,41,5.4,0.0,3
91.3,8.5,13.3,27,3.6,0.0,4
91.0,12.3,13.7,33,9.4,0.0,4
91.0,12.3,17.6,27,5.8,0.0,4
89.6,5.7,18.0,40,4.0,0.0,3
88.2,4.7,14.3,79,4.0,0.0,3
90.5,9.4,24.5,50,3.1,0.0,3
93.0,10.8,26.4,35,2.7,0.0,4
93.7,18.0,22.7,40,9.4,0.0,4
93.5,9.9,27.2,28,1.3,0.0,4
93.7,14.7,26.1,45,4.0,0.0,4
93.7,14.7,18.2,82,4.5,0.0,4
89.2,6.4,22.6,57,4.9,0.0,3
93.2,9.5,30.2,25,4.5,0.0,4
93.2,9.5,30.2,22,4.9,0.0,4
94.9,14.1,23.4,40,5.8,0.0,4
94.9,14.1,31.0,27,5.4,0.0,4
94.9,14.1,33.1,25,4.0,0.0,4
95.0,21.3,30.6,28,3.6,0.0,4
95.1,17.7,24.1,43,6.3,0.0,4
95.1,17.7,26.4,34,3.6,0.0,4
95.1,17.7,19.4,71,7.6,0.0,4
95.1,17.7,20.6,58,1.3,0.0,4
95.1,17.7,28.7,33,4.0,0.0,4
95.8,13.8,32.4,21,4.5,0.0,4
95.9,11.3,32.4,27,2.2,0.0,4
95.9,11.3,27.5,29,4.5,0.0,4
96.0,14.0,30.8,30,4.9,0.0,4
96.2,16.8,23.9,42,2.2,0.0,4
96.2,16.8,32.6,26,3.1,0.0,4
96.1,14.3,32.3,27,2.2,0.0,4
96.1,14.3,33.3,26,2.7,0.0,4
96.1,14.3,27.3,63,4.9,6.4,4
96.1,14.3,21.6,65,4.9,0.8,4
96.1,14.3,21.6,65,4.9,0.8,4
96.1,14.3,20.7,69,4.9,0.4,4
94.5,20.0,29.2,30,4.9,0.0,4
94.5,20.0,28.9,29,4.9,0.0,4
91.0,10.1,26.7,35,1.8,0.0,4
91.0,7.1,18.5,73,8.5,0.0,4
91.0,7.1,25.9,41,3.6,0.0,4
91.0,7.1,25.9,41,3.6,0.0,4
91.0,7.1,21.1,71,7.6,1.4,4
91.0,7.1,18.2,62,5.4,0.0,4
81.6,1.9,27.8,35,2.7,0.0,2
81.6,1.9,27.8,32,2.7,0.0,2
81.6,1.9,21.9,71,5.8,0.0,2
81.6,1.9,21.2,70,6.7,0.0,2
94.4,11.3,25.6,42,4.0,0.0,4
79.5,1.1,11.8,31,4.5,0.0,2
