YEAR,MO,DY,T2M,ALLSKY_SFC_SW_DWN
2024,1,1,7.21,2.6398
2024,1,2,11.8,1.0334
2024,1,3,12.23,0.7714
2024,1,4,8.9,1.5869
2024,1,5,7.21,2.4197
2024,1,6,6.31,2.6242
2024,1,7,5.22,2.8061
2024,1,8,3.81,1.2384
2024,1,9,4.88,1.1381
2024,1,10,7.24,1.3764
2024,1,11,6.66,2.5262
2024,1,12,5.3,2.0957
2024,1,13,8.15,1.5012
2024,1,14,11.18,0.6564
2024,1,15,14.63,1.2679
2024,1,16,14.21,0.8359
2024,1,17,13.5,1.9044
2024,1,18,12.73,1.8713
2024,1,19,8.53,2.3966
2024,1,20,2.91,3.1678
2024,1,21,5.27,3.0943
2024,1,22,5.36,2.6954
2024,1,23,9.7,2.9921
2024,1,24,10.52,3.2033
2024,1,25,10.47,2.9362
2024,1,26,11.13,2.875
2024,1,27,11.45,2.6945
2024,1,28,10.81,2.3585
2024,1,29,10.49,2.7854
2024,1,30,9.04,3.0869
2024,1,31,8.95,3.113
2024,2,1,9.84,3.3907
2024,2,2,9.73,3.4174
2024,2,3,9.09,3.4994
2024,2,4,9.47,3.3053
2024,2,5,10.57,2.773
2024,2,6,10.71,3.3866
2024,2,7,11.69,1.5701
2024,2,8,11.25,0.9761
2024,2,9,11.83,1.8602
2024,2,10,8.75,2.7202
2024,2,11,9.41,1.0505
2024,2,12,14.2,2.7866
2024,2,13,14.08,1.5036
2024,2,14,13.67,2.3184
2024,2,15,12.43,1.8149
2024,2,16,11.99,2.9162
2024,2,17,10.44,3.8837
2024,2,18,9.69,3.9228
2024,2,19,11.53,4.26
2024,2,20,12.12,4.3073
2024,2,21,11.49,3.6269
2024,2,22,11.04,1.8847
2024,2,23,7.79,3.3624
2024,2,24,8.73,2.8958
2024,2,25,12.28,2.0311
2024,2,26,8.63,4.1057
2024,2,27,6.62,4.897
2024,2,28,8.03,4.794
2024,2,29,8.27,4.0159
2024,3,1,7.34,3.4346
2024,3,2,8.63,1.7338
2024,3,3,8.43,3.5004
2024,3,4,10.56,3.4699
2024,3,5,9.38,4.6714
2024,3,6,8.61,4.579
2024,3,7,8.13,2.6328
2024,3,8,8.93,3.0
2024,3,9,8.27,2.8908
2024,3,10,10.14,3.9384
2024,3,11,10.5,3.4963
2024,3,12,9.75,5.1118
2024,3,13,12.32,5.3902
2024,3,14,12.48,3.0787
2024,3,15,13.19,2.4314
2024,3,16,15.71,3.6401
2024,3,17,16.3,4.6567
2024,3,18,15.32,4.3262
2024,3,19,15.18,4.0512
2024,3,20,14.22,4.0387
2024,3,21,15.78,4.3906
2024,3,22,15.96,3.0014
2024,3,23,16.08,3.4318
2024,3,24,16.1,2.85
2024,3,25,12.48,4.6166
2024,3,26,7.84,3.5846
2024,3,27,11.5,2.5805
2024,3,28,11.98,2.5414
2024,3,29,8.36,4.6193
2024,3,30,8.79,3.4574
2024,3,31,9.02,4.7155
2024,4,1,10.6,4.9049
2024,4,2,11.35,2.2558
2024,4,3,13.73,5.3842
2024,4,4,13.47,5.7134
2024,4,5,15.02,5.9225
2024,4,6,14.32,2.2066
2024,4,7,14.27,5.8008
2024,4,8,11.53,5.1082
2024,4,9,9.74,7.1592
2024,4,10,13.03,6.5702
2024,4,11,17.69,6.87
2024,4,12,18.05,7.0157
2024,4,13,18.96,6.8066
2024,4,14,19.39,6.7966
2024,4,15,19.39,7.176
2024,4,16,18.56,7.2206
2024,4,17,16.97,6.737
2024,4,18,17.55,6.7421
2024,4,19,15.96,5.4463
2024,4,20,16.72,3.8849
2024,4,21,16.69,7.2017
2024,4,22,14.38,7.6162
2024,4,23,12.55,7.2298
2024,4,24,13.69,6.9427
2024,4,25,13.23,7.2134
2024,4,26,12.17,3.9775
2024,4,27,11.31,5.5061
2024,4,28,10.5,6.0312
2024,4,29,12.04,7.1784
2024,4,30,11.72,4.1789
2024,5,1,10.08,5.9676
2024,5,2,10.84,5.6933
2024,5,3,12.95,5.142
2024,5,4,14.63,5.7823
2024,5,5,15.7,3.4109
2024,5,6,15.46,7.9704
2024,5,7,16.21,7.9562
2024,5,8,17.66,8.0318
2024,5,9,18.56,6.3734
2024,5,10,19.68,7.3421
2024,5,11,19.95,7.2096
2024,5,12,18.44,7.3555
2024,5,13,16.44,6.4178
2024,5,14,13.53,5.8762
2024,5,15,12.52,6.1932
2024,5,16,14.02,4.9663
2024,5,17,14.98,6.1034
2024,5,18,14.3,7.1141
2024,5,19,14.76,6.8208
2024,5,20,14.84,6.6672
2024,5,21,14.89,6.7363
2024,5,22,14.46,6.9089
2024,5,23,16.31,8.5186
2024,5,24,18.47,8.5793
2024,5,25,17.83,8.4458
2024,5,26,18.41,8.0671
2024,5,27,19.06,8.4108
2024,5,28,21.69,8.3489
2024,5,29,24.07,8.3962
2024,5,30,25.36,8.346
2024,5,31,25.43,8.2591
2024,6,1,23.68,8.2603
2024,6,2,23.38,8.1554
2024,6,3,23.5,7.4438
2024,6,4,24.34,7.4914
2024,6,5,23.73,7.5118
2024,6,6,23.97,6.2443
2024,6,7,25.21,5.3964
2024,6,8,20.68,4.8046
2024,6,9,19.56,4.6416
2024,6,10,20.65,4.433
2024,6,11,22.02,8.0899
2024,6,12,21.62,8.6186
2024,6,13,21.36,8.6743
2024,6,14,21.23,8.0592
2024,6,15,18.62,8.8399
2024,6,16,20.02,8.6758
2024,6,17,20.37,7.0678
2024,6,18,19.03,5.4869
2024,6,19,16.63,5.0585
2024,6,20,18.75,6.4382
2024,6,21,21.2,8.617
2024,6,22,23.09,7.8542
2024,6,23,25.41,7.4878
2024,6,24,28.15,8.345
2024,6,25,24.04,7.901
2024,6,26,21.92,7.6061
2024,6,27,22.66,4.7028
2024,6,28,19.97,2.0172
2024,6,29,20.42,3.2611
2024,6,30,19.91,6.1253
2024,7,1,23.73,8.2697
2024,7,2,26.48,8.52
2024,7,3,27.77,8.4986
2024,7,4,29.29,8.3861
2024,7,5,29.8,8.183
2024,7,6,22.7,8.5877
2024,7,7,21.18,8.6846
2024,7,8,21.84,8.5018
2024,7,9,23.16,7.2118
2024,7,10,25.46,7.7542
2024,7,11,25.52,8.316
2024,7,12,24.82,8.623
2024,7,13,23.99,8.4096
2024,7,14,23.1,7.596
2024,7,15,22.95,7.711
2024,7,16,22.73,8.5702
2024,7,17,26.11,8.4564
2024,7,18,27.97,8.1811
2024,7,19,28.84,8.2637
2024,7,20,25.08,8.0278
2024,7,21,26.63,8.3986
2024,7,22,31.02,8.2114
2024,7,23,32.94,8.1396
2024,7,24,33.44,8.1178
2024,7,25,29.69,8.0158
2024,7,26,29.43,7.8038
2024,7,27,29.9,7.8835
2024,7,28,30.48,7.5694
2024,7,29,31.72,3.1481
2024,7,30,28.91,7.7707
2024,7,31,28.71,7.6082
2024,8,1,27.44,7.9795
2024,8,2,26.18,7.8199
2024,8,3,28.8,7.8014
2024,8,4,31.37,7.7054
2024,8,5,29.88,7.818
2024,8,6,28.32,7.8509
2024,8,7,29.33,7.7782
2024,8,8,28.39,7.5588
2024,8,9,31.4,7.4887
2024,8,10,31.93,7.4602
2024,8,11,30.24,7.3337
2024,8,12,27.6,7.3891
2024,8,13,24.09,6.6782
2024,8,14,26.83,7.4726
2024,8,15,29.43,7.4779
2024,8,16,30.74,7.5636
2024,8,17,30.96,7.1846
2024,8,18,29.39,7.182
2024,8,19,29.66,7.2542
2024,8,20,29.15,7.0975
2024,8,21,29.87,7.0344
2024,8,22,25.25,7.3073
2024,8,23,26.22,7.2084
2024,8,24,27.2,6.9715
2024,8,25,28.53,7.0994
2024,8,26,28.96,6.209
2024,8,27,27.1,6.9283
2024,8,28,25.71,6.6074
2024,8,29,24.65,6.1781
2024,8,30,26.13,6.036
2024,8,31,25.68,5.2685
2024,9,1,24.31,6.5803
2024,9,2,23.09,6.2424
2024,9,3,23.8,6.2201
2024,9,4,25.78,6.587
2024,9,5,24.29,5.7473
2024,9,6,19.22,6.7186
2024,9,7,19.89,6.1042
2024,9,8,21.05,6.5904
2024,9,9,22.45,6.4164
2024,9,10,23.62,6.3098
2024,9,11,25.38,5.6585
2024,9,12,24.99,6.0166
2024,9,13,24.54,6.1927
2024,9,14,24.29,5.8834
2024,9,15,26.41,5.8958
2024,9,16,26.44,5.8649
2024,9,17,23.68,5.8481
2024,9,18,22.82,4.5473
2024,9,19,22.89,4.0406
2024,9,20,22.04,3.5688
2024,9,21,20.81,4.3368
2024,9,22,20.56,4.6366
2024,9,23,19.4,5.6338
2024,9,24,18.24,2.3707
2024,9,25,22.08,2.4636
2024,9,26,20.63,3.3722
2024,9,27,16.69,4.8384
2024,9,28,16.69,5.0844
2024,9,29,18.87,5.3986
2024,9,30,20.53,5.4211
2024,10,1,20.64,5.0861
2024,10,2,21.03,2.3076
2024,10,3,19.82,3.4262
2024,10,4,19.89,4.4626
2024,10,5,21.03,2.9064
2024,10,6,20.78,2.2675
2024,10,7,19.45,3.0878
2024,10,8,17.97,2.3162
2024,10,9,18.52,2.9506
2024,10,10,16.85,4.2878
2024,10,11,18.03,1.2319
2024,10,12,19.47,2.6825
2024,10,13,19.14,2.3309
2024,10,14,19.41,3.2827
2024,10,15,18.08,1.8636
2024,10,16,18.32,2.8337
2024,10,17,14.88,3.8983
2024,10,18,15.22,2.1895
2024,10,19,16.57,2.436
2024,10,20,17.51,3.5594
2024,10,21,16.57,4.2626
2024,10,22,17.28,4.1645
2024,10,23,17.41,4.067
2024,10,24,17.27,2.8567
2024,10,25,12.97,3.7003
2024,10,26,10.71,2.1038
2024,10,27,11.33,3.8174
2024,10,28,12.87,3.6864
2024,10,29,15.76,1.9066
2024,10,30,13.41,2.6258
2024,10,31,14.06,1.4626
2024,11,1,14.46,1.7165
2024,11,2,14.57,3.4999
2024,11,3,14.75,3.3036
2024,11,4,15.13,1.9853
2024,11,5,16.41,1.4203
2024,11,6,16.03,3.3158
2024,11,7,15.04,2.9594
2024,11,8,15.11,1.6104
2024,11,9,14.94,3.1663
2024,11,10,14.1,2.6606
2024,11,11,14.84,3.3036
2024,11,12,11.89,3.3137
2024,11,13,7.27,2.3129
2024,11,14,11.25,1.0198
2024,11,15,12.78,1.1342
2024,11,16,14.44,2.7118
2024,11,17,13.62,1.8046
2024,11,18,13.74,2.8198
2024,11,19,13.2,2.424
2024,11,20,11.65,2.2058
2024,11,21,13.01,1.3524
2024,11,22,14.49,1.417
2024,11,23,13.2,2.4864
2024,11,24,14.01,0.7313
2024,11,25,13.26,2.1478
2024,11,26,10.34,1.8367
2024,11,27,8.23,2.8805
2024,11,28,9.77,2.5238
2024,11,29,13.64,1.3404
2024,11,30,12.54,2.1847
2024,12,1,12.79,1.201
2024,12,2,12.72,2.0354
2024,12,3,10.58,1.9152
2024,12,4,11.38,2.3268
2024,12,5,10.5,2.2529
2024,12,6,11.97,2.2742
2024,12,7,10.75,2.6275
2024,12,8,6.61,2.8685
2024,12,9,5.37,2.7624
2024,12,10,5.33,2.7391
2024,12,11,4.41,2.3206
2024,12,12,4.05,1.8682
2024,12,13,4.86,1.9126
2024,12,14,5.89,1.999
2024,12,15,5.33,2.2051
2024,12,16,5.84,2.4886
2024,12,17,7.58,2.0518
2024,12,18,10.31,1.5521
2024,12,19,12.19,2.0976
2024,12,20,6.21,2.7434
2024,12,21,5.21,2.7374
2024,12,22,6.87,2.6635
2024,12,23,7.84,2.6906
2024,12,24,7.74,2.4821
2024,12,25,8.3,2.6386
2024,12,26,8.05,2.6736
2024,12,27,6.54,2.6035
2024,12,28,5.93,2.6734
2024,12,29,4.75,2.742
2024,12,30,4.6,2.4518
2024,12,31,4.34,2.371
2025,1,1,4.59,2.7029
2025,1,2,5.24,2.5661
2025,1,3,6.28,1.8115
2025,1,4,7.36,1.6366
2025,1,5,12.39,0.7202
2025,1,6,8.94,2.1804
2025,1,7,8.08,0.9475
2025,1,8,11.53,0.8652
2025,1,9,12.39,2.0777
2025,1,10,10.62,1.4585
2025,1,11,12.62,1.9272
2025,1,12,9.26,2.7559
2025,1,13,5.16,3.0696
2025,1,14,3.02,3.1272
2025,1,15,3.8,3.096
2025,1,16,5.72,2.9724
2025,1,17,5.22,3.097
2025,1,18,5.83,3.1692
2025,1,19,4.3,1.529
2025,1,20,11.2,0.6677
2025,1,21,13.64,0.9934
2025,1,22,13.33,1.194
2025,1,23,12.75,1.7873
2025,1,24,10.55,0.8849
2025,1,25,10.56,2.4132
2025,1,26,11.41,0.7898
2025,1,27,13.0,2.2092
2025,1,28,9.48,2.8745
2025,1,29,9.6,1.5353
2025,1,30,7.66,3.5443
2025,1,31,6.87,3.629
2025,2,1,8.01,3.1966
2025,2,2,9.5,1.8468
2025,2,3,7.38,3.5988
2025,2,4,6.88,3.4646
2025,2,5,7.42,3.7555
2025,2,6,7.38,3.5753
2025,2,7,9.18,1.5998
2025,2,8,8.96,3.7298
2025,2,9,10.68,1.812
2025,2,10,10.1,1.9579
2025,2,11,10.51,0.8554
2025,2,12,9.56,2.8963
2025,2,13,9.99,3.3334
2025,2,14,9.53,3.3686
2025,2,15,8.94,2.3801
2025,2,16,10.49,2.4518
2025,2,17,9.33,3.0994
2025,2,18,10.54,2.0441
2025,2,19,12.3,2.1254
2025,2,20,12.25,3.3629
2025,2,21,10.63,1.2643
2025,2,22,9.63,3.2837
2025,2,23,9.89,4.495
2025,2,24,10.19,4.2533
2025,2,25,11.08,3.3866
2025,2,26,8.58,4.4894
2025,2,27,9.1,2.7838
2025,2,28,9.75,2.8572
2025,3,1,8.79,1.6301
2025,3,2,6.33,1.217
2025,3,3,8.99,1.9589
2025,3,4,11.36,2.5848
2025,3,5,11.16,2.5013
2025,3,6,12.52,2.3314
2025,3,7,10.86,1.7237
2025,3,8,9.17,2.874
2025,3,9,8.55,2.9748
2025,3,10,9.98,1.6502
2025,3,11,11.68,3.5261
2025,3,12,9.41,2.3381
2025,3,13,10.01,3.0362
2025,3,14,7.62,5.1247
2025,3,15,7.73,4.4498
2025,3,16,9.87,3.8167
2025,3,17,11.53,2.1418
2025,3,18,11.38,3.408
2025,3,19,12.44,2.899
2025,3,20,12.3,4.1616
2025,3,21,10.47,1.9922
2025,3,22,8.99,2.9306
2025,3,23,8.26,4.9308
2025,3,24,9.5,5.7545
2025,3,25,11.94,5.6345
2025,3,26,11.68,5.6986
2025,3,27,11.95,5.7857
2025,3,28,12.55,6.3223
2025,3,29,12.37,6.5527
2025,3,30,12.17,6.5962
2025,3,31,13.7,5.6501
2025,4,1,13.93,4.3301
2025,4,2,11.89,2.5572
2025,4,3,11.37,3.7301
2025,4,4,12.5,3.0005
2025,4,5,11.87,4.1208
2025,4,6,11.67,3.3012
2025,4,7,15.0,5.5807
2025,4,8,16.07,5.8927
2025,4,9,16.94,5.7653
2025,4,10,18.32,4.8914
2025,4,11,15.6,2.5454
2025,4,12,14.87,3.0074
2025,4,13,14.32,5.2582
2025,4,14,11.27,2.983
2025,4,15,9.09,4.8511
2025,4,16,9.45,4.093
2025,4,17,12.24,4.1405
2025,4,18,13.6,3.024
2025,4,19,10.35,5.8934
2025,4,20,11.75,4.6853
2025,4,21,10.85,2.5927
2025,4,22,13.35,6.8959
2025,4,23,15.76,7.5667
2025,4,24,17.97,7.4928
2025,4,25,16.8,6.9271
2025,4,26,14.47,7.8329
2025,4,27,15.51,7.6322
2025,4,28,16.52,7.505
2025,4,29,16.39,5.3206
2025,4,30,13.21,1.7515
2025,5,1,13.66,6.1601
2025,5,2,14.83,3.6487
2025,5,3,14.35,3.9228
2025,5,4,13.8,4.3615
2025,5,5,14.73,5.8836
2025,5,6,15.27,6.6422
2025,5,7,15.02,6.3955
2025,5,8,14.5,4.8626
2025,5,9,14.18,4.6488
2025,5,10,13.27,5.7317
2025,5,11,12.64,6.6494
2025,5,12,13.01,6.5153
2025,5,13,13.9,5.411
2025,5,14,13.22,7.6913
2025,5,15,14.97,7.6745
2025,5,16,18.07,7.5751
2025,5,17,19.89,7.0224
2025,5,18,16.81,6.4032
2025,5,19,15.3,6.2285
2025,5,20,17.58,8.0962
2025,5,21,19.57,7.9704
2025,5,22,19.03,7.7062
2025,5,23,17.73,8.4101
2025,5,24,19.18,8.3765
2025,5,25,20.48,8.3568
2025,5,26,20.26,8.3239
2025,5,27,22.01,8.4322
2025,5,28,23.77,8.2402
2025,5,29,23.73,7.8636
2025,5,30,24.59,7.9277
2025,5,31,25.29,7.7122
2025,6,1,23.45,6.3482
2025,6,2,20.59,7.6963
2025,6,3,17.65,5.4396
2025,6,4,17.89,7.1645
2025,6,5,19.28,8.3342
2025,6,6,20.23,8.4826
2025,6,7,20.7,8.5582
2025,6,8,23.94,8.2421
2025,6,9,25.7,5.2858
2025,6,10,24.08,5.9083
2025,6,11,20.46,6.4418
2025,6,12,20.69,6.3662
2025,6,13,21.28,7.2173
2025,6,14,21.13,7.7784
2025,6,15,23.52,8.6352
2025,6,16,27.52,8.1821
2025,6,17,29.23,8.0249
2025,6,18,27.85,7.0392
2025,6,19,29.22,5.2022
2025,6,20,27.62,8.1708
2025,6,21,24.25,7.7479
2025,6,22,25.3,7.4573
2025,6,23,23.45,4.3714
2025,6,24,22.61,4.2062
2025,6,25,21.98,6.4639
2025,6,26,24.46,8.6304
2025,6,27,28.14,8.5891
2025,6,28,29.43,7.4712
2025,6,29,31.16,6.5765
2025,6,30,31.2,7.8698
2025,7,1,30.33,7.9675
2025,7,2,28.79,8.1247
2025,7,3,29.99,8.2097
2025,7,4,29.42,8.2956
2025,7,5,29.76,8.1605
2025,7,6,29.57,7.9644
2025,7,7,30.28,8.3074
2025,7,8,31.3,8.2308
2025,7,9,27.74,8.4456
2025,7,10,24.7,8.1002
2025,7,11,22.69,3.5407
2025,7,12,23.27,6.9794
2025,7,13,23.88,7.98
2025,7,14,26.55,8.3417
2025,7,15,29.31,8.5558
2025,7,16,30.63,8.449
2025,7,17,25.69,8.1144
2025,7,18,22.24,8.3136
2025,7,19,22.68,7.9824
2025,7,20,22.11,6.5911
2025,7,21,22.6,8.453
2025,7,22,25.43,8.1487
2025,7,23,24.47,6.2282
2025,7,24,26.71,7.9217
2025,7,25,27.25,8.2128
2025,7,26,29.05,8.1958
2025,7,27,30.61,8.1758
2025,7,28,30.67,7.956
2025,7,29,29.36,7.8636
2025,7,30,30.39,7.5967
2025,7,31,31.3,7.1462
2025,8,1,30.96,7.386
2025,8,2,30.65,7.649
2025,8,3,33.27,7.5802
2025,8,4,31.77,7.4105
2025,8,5,32.27,7.3075
2025,8,6,30.56,7.4633
2025,8,7,29.69,7.6956
2025,8,8,28.52,7.5624
2025,8,9,31.05,7.4959
2025,8,10,32.09,7.4071
2025,8,11,33.24,7.025
2025,8,12,33.53,5.5646
2025,8,13,32.58,6.7183
2025,8,14,32.44,7.2929
2025,8,15,30.95,7.1938
2025,8,16,31.85,5.8356
2025,8,17,31.13,6.5383
2025,8,18,25.68,6.005
2025,8,19,23.5,7.2403
2025,8,20,23.56,7.0934
2025,8,21,24.71,6.9012
2025,8,22,27.17,6.7656
2025,8,23,28.17,6.6149
2025,8,24,25.95,6.361
2025,8,25,28.12,6.7219
2025,8,26,27.15,6.4294
2025,8,27,22.14,5.9479
2025,8,28,21.26,7.056
2025,8,29,22.5,6.5782
2025,8,30,23.33,6.8614
2025,8,31,20.48,5.761
2025,9,1,19.62,6.27
2025,9,2,21.23,6.2566
2025,9,3,22.78,6.5292
2025,9,4,22.07,6.3223
2025,9,5,24.72,5.0441
2025,9,6,25.54,5.8349
2025,9,7,21.19,2.6426
2025,9,8,20.8,5.9712
2025,9,9,19.37,6.2513
2025,9,10,21.41,3.7814
2025,9,11,22.89,6.3034
2025,9,12,23.54,5.8219
2025,9,13,23.06,5.97
2025,9,14,24.52,6.1332
2025,9,15,25.82,6.0804
2025,9,16,26.8,6.1807
2025,9,17,28.38,6.0998
2025,9,18,28.59,4.8245
2025,9,19,26.58,3.143
2025,9,20,23.91,4.6435
2025,9,21,18.53,6.1807
2025,9,22,17.72,6.1366
2025,9,23,19.05,5.9599
2025,9,24,19.67,5.4998
2025,9,25,20.7,5.5942
2025,9,26,20.98,5.6124
2025,9,27,19.33,3.3665
2025,9,28,19.87,2.8296
2025,9,29,20.39,5.1874
2025,9,30,21.14,5.1516
2025,10,1,22.04,5.0028
2025,10,2,22.45,5.1046
2025,10,3,22.12,4.7866
2025,10,4,21.71,5.0983
2025,10,5,21.66,5.1835
2025,10,6,23.19,4.7736
2025,10,7,22.38,4.5674
2025,10,8,19.38,4.6174
2025,10,9,21.53,4.445
2025,10,10,22.3,4.482
2025,10,11,21.12,4.6051
2025,10,12,21.07,4.1033
2025,10,13,22.62,4.0954
2025,10,14,22.3,4.2463
2025,10,15,22.97,4.1729
2025,10,16,22.93,3.9574
2025,10,17,22.41,4.0889
2025,10,18,21.97,4.0858
2025,10,19,21.06,2.9988
2025,10,20,18.91,2.9422
2025,10,21,20.4,2.0614
2025,10,22,20.37,2.2699
2025,10,23,20.6,3.4039
2025,10,24,20.18,2.4382
2025,10,25,19.56,1.5698
2025,10,26,17.69,3.8633
2025,10,27,16.72,3.8911
2025,10,28,16.47,1.5725
2025,10,29,16.87,2.7859
2025,10,30,15.42,2.2037
2025,10,31,16.27,1.1208
2025,11,1,16.04,1.2914
2025,11,2,13.76,3.6797
2025,11,3,13.15,3.5822
2025,11,4,15.74,2.1629
2025,11,5,15.6,1.1683
2025,11,6,12.23,2.7682
2025,11,7,13.24,1.0229
2025,11,8,11.48,3.4894
2025,11,9,9.92,3.1392
2025,11,10,12.52,1.7626
2025,11,11,12.82,1.7146
2025,11,12,14.76,1.3805
2025,11,13,15.35,0.5815
2025,11,14,12.56,1.0154
2025,11,15,12.82,1.2398
2025,11,16,12.9,2.255
2025,11,17,12.05,2.1062
2025,11,18,11.1,3.2208
2025,11,19,8.02,2.6302
2025,11,20,6.66,3.2242
2025,11,21,5.76,3.2539
2025,11,22,6.3,2.8642
2025,11,23,9.69,2.2774
2025,11,24,12.63,1.1117
2025,11,25,8.28,2.9916
2025,11,26,6.88,2.9969
2025,11,27,7.37,2.9633
2025,11,28,8.14,2.957
2025,11,29,8.54,1.7674
2025,11,30,8.85,2.7739
2025,12,1,6.74,2.479
2025,12,2,8.19,2.0052
2025,12,3,7.52,1.8571
2025,12,4,10.17,1.7105
2025,12,5,12.45,1.3368
2025,12,6,12.72,1.2835
2025,12,7,11.04,1.4467
2025,12,8,9.75,1.5792
2025,12,9,9.71,0.2954
2025,12,10,9.98,1.3742
2025,12,11,8.61,1.266
2025,12,12,10.12,0.6017
2025,12,13,10.96,2.3314
2025,12,14,9.01,2.5478
2025,12,15,8.91,0.535
2025,12,16,8.5,0.9643
2025,12,17,8.61,1.6356
2025,12,18,8.79,1.4208
2025,12,19,9.2,0.9002
2025,12,20,7.95,1.5727
2025,12,21,6.2,1.7544
2025,12,22,6.14,2.0107
2025,12,23,8.59,1.5494
2025,12,24,5.1,2.1984
2025,12,25,5.56,2.4293
2025,12,26,4.27,2.4266
2025,12,27,5.17,2.4132
2025,12,28,7.44,1.7198
2025,12,29,6.92,2.5728
2025,12,30,5.77,2.4274
2025,12,31,4.44,2.4382
